[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/footer.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/footer.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/footer.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/footer.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/footer.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/footer.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 17
[03-May-2025 14:24:06 Europe/Berlin] PHP Warning:  include(../../includes/footer.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 174
